GameID,Date,Hometeam,Awayteam,Homescore,Awayscore
940,2017-03-06,MEM,BRK,109,122
941,2017-03-06,ORL,NYK,105,113
942,2017-03-06,PHI,MIL,98,112
943,2017-03-06,SAS,HOU,112,110
944,2017-03-06,UTA,NOP,88,83
945,2017-03-07,DAL,LAL,122,111
946,2017-03-07,OKC,POR,121,126
947,2017-03-07,PHO,WAS,127,131
948,2017-03-08,ATL,BRK,110,105
949,2017-03-08,DEN,WAS,113,123
950,2017-03-08,GSW,BOS,86,99
951,2017-03-08,HOU,UTA,108,115
952,2017-03-08,IND,DET,115,98
953,2017-03-08,MIA,CHO,108,101
954,2017-03-08,MIL,NYK,104,93
955,2017-03-08,MIN,LAC,107,91
956,2017-03-08,NOP,TOR,87,94
957,2017-03-08,ORL,CHI,98,91
958,2017-03-08,SAS,SAC,114,104
959,2017-03-09,DET,CLE,106,101
960,2017-03-09,MEM,LAC,98,114
961,2017-03-09,OKC,SAS,102,92
962,2017-03-09,PHO,LAL,110,122
963,2017-03-09,POR,PHI,114,108
964,2017-03-10,ATL,TOR,105,99
965,2017-03-10,CHI,HOU,94,115
966,2017-03-10,CHO,ORL,121,81
967,2017-03-10,DAL,BRK,105,96
968,2017-03-10,DEN,BOS,119,99
969,2017-03-10,MIL,IND,99,85
970,2017-03-10,MIN,GSW,103,102
971,2017-03-10,SAC,WAS,122,130
972,2017-03-11,CHO,NOP,122,125
973,2017-03-11,DAL,PHO,98,100
974,2017-03-11,DET,NYK,112,92
975,2017-03-11,LAC,PHI,112,100
976,2017-03-11,MEM,ATL,90,107
977,2017-03-11,MIA,TOR,104,89
978,2017-03-11,MIL,MIN,102,95
979,2017-03-11,OKC,UTA,112,104
980,2017-03-11,ORL,CLE,104,116
981,2017-03-11,POR,WAS,124,125
982,2017-03-11,SAC,DEN,92,105
983,2017-03-11,SAS,GSW,107,85
984,2017-03-12,BOS,CHI,100,80
985,2017-03-12,BRK,NYK,120,112
986,2017-03-12,HOU,CLE,117,112
987,2017-03-12,IND,MIA,102,98
988,2017-03-12,LAL,PHI,116,118
989,2017-03-12,PHO,POR,101,110
990,2017-03-13,CHO,CHI,109,115
991,2017-03-13,DEN,LAL,129,101
992,2017-03-13,MEM,MIL,113,93
993,2017-03-13,MIN,WAS,119,104
994,2017-03-13,SAC,ORL,120,115
995,2017-03-13,SAS,ATL,107,99
996,2017-03-13,TOR,DAL,100,78
997,2017-03-13,UTA,LAC,114,108
998,2017-03-14,BRK,OKC,104,122
999,2017-03-14,CLE,DET,128,96
1000,2017-03-14,GSW,PHI,106,104
1001,2017-03-14,NOP,POR,100,77
1002,2017-03-14,NYK,IND,87,81
1003,2017-03-15,BOS,MIN,117,104
1004,2017-03-15,CHI,MEM,91,98
1005,2017-03-15,DET,UTA,83,97
1006,2017-03-15,HOU,LAL,139,100
1007,2017-03-15,IND,CHO,98,77
1008,2017-03-15,LAC,MIL,96,97
1009,2017-03-15,MIA,NOP,120,112
1010,2017-03-15,PHO,SAC,101,107
1011,2017-03-15,SAS,POR,106,110
